省份,城市,确诊,死亡,治愈,时间
广西,南宁,55,0,55,5/28/2020 8:55
广西,河池,28,1,27,5/28/2020 8:55
广西,桂林,32,0,32,5/28/2020 8:55
广西,玉林,11,0,11,5/28/2020 8:55
广西,钦州,8,0,8,5/28/2020 8:55
广西,贵港,8,0,8,5/28/2020 8:55
广西,梧州,5,0,5,5/28/2020 8:55
广西,百色,3,0,3,5/28/2020 8:55
广西,贺州,4,0,4,5/28/2020 8:55
贵州,境外输入,1,0,1,5/28/2020 8:55
贵州,贵阳,36,1,35,5/28/2020 8:55
贵州,遵义,32,0,32,5/28/2020 8:55
贵州,六盘水,10,1,9,5/28/2020 8:55
贵州,毕节,23,0,23,5/28/2020 8:55
贵州,黔南州,17,0,17,5/28/2020 8:55
贵州,安顺,4,0,4,5/28/2020 8:55
贵州,黔东南州,10,0,10,5/28/2020 8:55
贵州,铜仁,10,0,10,5/28/2020 8:55
贵州,黔西南州,4,0,4,5/28/2020 8:55
宁夏,境外输入,3,0,3,5/28/2020 8:55
宁夏,银川,34,0,34,5/28/2020 8:55
宁夏,吴忠,28,0,28,5/28/2020 8:55
宁夏,固原,5,0,5,5/28/2020 8:55
宁夏,中卫,3,0,3,5/28/2020 8:55
宁夏,石嘴山,1,0,1,5/28/2020 8:55
宁夏,宁东管委会,1,0,1,5/28/2020 8:55
重庆,境外输入,3,0,3,5/28/2020 8:55
重庆,綦江区,23,0,23,5/28/2020 8:55
重庆,大足区,14,0,14,5/28/2020 8:55
重庆,荣昌区,9,0,9,5/28/2020 8:55
重庆,长寿区,22,0,22,5/28/2020 8:55
重庆,江北区,28,0,28,5/28/2020 8:55
重庆,丰都县,10,0,10,5/28/2020 8:55
重庆,潼南区,18,0,18,5/28/2020 8:55
重庆,铜梁区,10,0,10,5/28/2020 8:55
重庆,南岸区,15,0,15,5/28/2020 8:55
重庆,九龙坡区,21,1,20,5/28/2020 8:55
重庆,沙坪坝区,9,0,9,5/28/2020 8:55
重庆,两江新区,17,0,17,5/28/2020 8:55
重庆,万州区,118,4,114,5/28/2020 8:55
重庆,巴南区,6,0,6,5/28/2020 8:55
重庆,渝中区,20,0,20,5/28/2020 8:55
重庆,垫江县,20,0,20,5/28/2020 8:55
重庆,云阳县,25,0,25,5/28/2020 8:55
重庆,奉节县,22,0,22,5/28/2020 8:55
重庆,石柱县,15,0,15,5/28/2020 8:55
重庆,涪陵区,5,0,5,5/28/2020 8:55
重庆,渝北区,17,0,17,5/28/2020 8:55
重庆,彭水县,2,0,2,5/28/2020 8:55
重庆,忠县,21,0,21,5/28/2020 8:55
重庆,开州区,21,1,20,5/28/2020 8:55
重庆,合川区,23,0,23,5/28/2020 8:55
重庆,大渡口区,7,0,7,5/28/2020 8:55
重庆,巫溪县,14,0,14,5/28/2020 8:55
重庆,巫山县,10,0,10,5/28/2020 8:55
重庆,万盛经开区,1,0,1,5/28/2020 8:55
重庆,酉阳县,1,0,1,5/28/2020 8:55
重庆,璧山区,9,0,9,5/28/2020 8:55
重庆,高新区,4,0,4,5/28/2020 8:55
重庆,永川区,5,0,5,5/28/2020 8:55
重庆,江津区,4,0,4,5/28/2020 8:55
重庆,武隆区,1,0,1,5/28/2020 8:55
重庆,梁平区,4,0,4,5/28/2020 8:55
重庆,城口县,2,0,2,5/28/2020 8:55
重庆,黔江区,2,0,2,5/28/2020 8:55
重庆,秀山县,1,0,1,5/28/2020 8:55
江苏,境外输入,22,0,22,5/28/2020 8:55
江苏,宿迁,13,0,13,5/28/2020 8:55
